redshift ,mstar ,phi   ,+err ,-err 
0.2      ,8     ,-1.49 ,0.06 ,0.06 
0.2      ,9     ,-1.89 ,0.07 ,0.07 
0.2      ,10    ,-2.35 ,0.09 ,0.09 
0.2      ,11    ,-3.25 ,0.12 ,0.12 
0.2      ,11.5  ,-4.52 ,0.18 ,0.23 
0.5      ,8     ,-1.69 ,0.04 ,0.04 
0.5      ,9     ,-2.00 ,0.04 ,0.04 
0.5      ,10    ,-2.35 ,0.06 ,0.06 
0.5      ,11    ,-3.49 ,0.11 ,0.11 
0.5      ,11.5  ,-4.88 ,0.18 ,0.14 
1.0      ,8     ,-2.03 ,0.17 ,0.03 
1.0      ,9     ,-2.26 ,0.07 ,0.04 
1.0      ,10    ,-2.66 ,0.06 ,0.06 
1.0      ,11    ,-3.77 ,0.12 ,0.12 
1.0      ,11.5  ,-5.45 ,0.35 ,0.18 
1.5      ,8     ,-2.41 ,0.37 ,0.11 
1.5      ,9     ,-2.56 ,0.19 ,0.08 
1.5      ,10    ,-2.88 ,0.07 ,0.07 
1.5      ,11    ,-3.97 ,0.14 ,0.14 
1.5      ,11.5  ,5.76  ,0.38 ,0.21 
2.0      ,8     ,-3.06 ,0.70 ,0.13 
2.0      ,9     ,-3.11 ,0.43 ,0.11 
2.0      ,10    ,-3.30 ,0.16 ,0.09 
2.0      ,11    ,-4.20 ,0.16 ,0.16 
2.0      ,11.5  ,-5.89 ,0.38 ,0.26 
2.5      ,8     ,-2.88 ,0.69 ,0.52 
2.5      ,9     ,-3.09 ,0.41 ,0.35 
2.5      ,10    ,-3.43 ,0.19 ,0.18 
2.5      ,11    ,-4.32 ,0.18 ,0.18 
2.5      ,11.5  ,-5.57 ,0.28 ,0.27 
3.0      ,8     ,-3.14 ,1.41 ,1.25 
3.0      ,9     ,-3.65 ,0.84 ,0.74 
3.0      ,10    ,-4.20 ,0.36 ,0.34 
3.0      ,11    ,-5.04 ,0.22 ,0.16 
3.0      ,11.5  ,-5.80 ,0.25 ,0.24 
